Step,Action,CPU,Swap,Load,RAM,IOwait,Latency,Reward
46,4,0.8082707524299622,0.010214638896286488,0.6926349997520447,0.5538264513015747,0.0,0.19441288709640503,0.9077925086021423
47,4,0.8193442225456238,0.026595979928970337,0.7121407389640808,0.49496912956237793,0.0,0.1981123834848404,0.9005118608474731
48,4,0.8115865588188171,0.0,0.7263755798339844,0.47139954566955566,0.0,0.1840904802083969,0.9054774045944214
49,4,0.8023774027824402,0.0,0.7370011806488037,0.4417249858379364,0.0,0.11459507793188095,0.9141271710395813
50,1,0.7893871068954468,3.702435424202122e-05,0.7846530079841614,0.3130777180194855,0.0,0.1848374307155609,0.9062311053276062
51,2,0.7377767562866211,0.0,0.788987934589386,0.3265857994556427,0.0232363473623991,0.20678402483463287,0.9190897941589355
52,2,0.702062726020813,0.022164732217788696,0.8344473242759705,0.3354487717151642,0.012786773964762688,0.2203277051448822,0.9216872453689575
53,2,0.6745326519012451,0.0,0.826620876789093,0.33809852600097656,0.0,0.21747316420078278,0.9332308173179626
54,3,0.6651538014411926,0.014141296036541462,0.827472448348999,0.35544222593307495,0.0,0.10240168869495392,0.9460523128509521
55,1,0.6367448568344116,0.013529106043279171,0.8107348680496216,0.24853944778442383,0.0,0.15972861647605896,0.9505772590637207
56,2,0.6729692816734314,0.0,0.8376752734184265,0.25630059838294983,0.01568390242755413,0.16739602386951447,0.9376021027565002
57,2,0.6798368096351624,0.0,0.8162368535995483,0.252913236618042,0.0,0.1348358690738678,0.9409416913986206
58,0,0.5851103067398071,0.0,0.831533670425415,0.2730577290058136,0.0,0.15087737143039703,0.9617589116096497
59,2,0.5546942949295044,0.02747865580022335,0.8457115292549133,0.2754247188568115,0.0,0.14696909487247467,0.9579840898513794
60,2,0.5363308191299438,0.0023915322963148355,0.8141526579856873,0.2650142014026642,0.0,0.13973842561244965,0.9643717408180237
61,2,0.49323219060897827,0.0,0.8119098544120789,0.31281933188438416,0.0,0.14776553213596344,0.9640324711799622
62,2,0.5014985203742981,0.0,0.7887069582939148,0.2860513925552368,0.0,0.15309633314609528,0.9658196568489075
63,2,0.496166467666626,0.0,0.7456134557723999,0.3097926080226898,0.0,0.14533239603042603,0.9709054231643677
64,2,0.48944464325904846,0.0,0.7804433703422546,0.3092389702796936,0.005703995935618877,0.12293951958417892,0.9696617126464844
65,2,0.5167330503463745,0.0,0.7023738622665405,0.3045656681060791,0.01911057159304619,0.09532750397920609,0.979762613773346
66,2,0.5228613615036011,0.006979091092944145,0.7164890170097351,0.28841307759284973,0.0,0.1222461685538292,0.975428581237793
67,2,0.534648060798645,0.01802782714366913,0.7316624522209167,0.30091431736946106,0.0006094219861552119,0.09753219038248062,0.9750309586524963
68,4,0.4994211196899414,0.0,0.7270682454109192,0.28816479444503784,0.0,0.1194191724061966,0.9753512740135193
69,2,0.4978503882884979,0.007878261618316174,0.7497425675392151,0.3023807406425476,0.0,0.10231132805347443,0.9740067720413208
70,2,0.4731189012527466,0.010335425846278667,0.7837556004524231,0.2973189651966095,0.0,0.11291397362947464,0.9692994952201843
